PID,totalvolume,x,y,z
16081,3.351,302316.667,1999616.667,5391.467
16337,3.41,302383.333,1999616.667,5391.459
16340,3.586,302516.667,1999616.667,5391.51
16592,3.68,302583.333,1999616.667,5391.503
16595,3.821,302716.667,1999616.667,5391.408
16833,3.907,302783.333,1999616.667,5391.304
16836,4.067,302916.667,1999616.667,5391.02
17069,4.136,302983.333,1999616.667,5390.824
17072,4.623,303116.667,1999616.667,5390.902
17298,4.868,303183.333,1999616.667,5391.218
17301,4.88,303316.667,1999616.667,5390.783
17518,4.953,303383.333,1999616.667,5390.707
17521,4.853,303516.667,1999616.667,5389.933
17732,4.788,303583.333,1999616.667,5389.499
17735,4.453,303716.667,1999616.667,5388.075
17933,4.274,303783.333,1999616.667,5387.31
17936,4.012,303916.667,1999616.667,5385.924
18128,3.824,303983.333,1999616.667,5385.079
18131,3.927,304116.667,1999616.667,5384.46
18313,3.974,304183.333,1999616.667,5384.285
18316,3.683,304316.667,1999616.667,5382.93
18484,3.503,304383.333,1999616.667,5382.138
18487,4.407,304516.667,1999616.667,5383.437
18640,6.196,304583.333,1999616.667,5386.779
18643,2.335,304716.667,1999616.667,5377.435
18782,1.558,304783.333,1999616.667,5375.455
18785,0.984,304916.667,1999616.667,5373.723
19938,0.127,306983.333,1999616.667,5331.67
19941,0.254,307116.667,1999616.667,5329.322
20005,0.296,307183.333,1999616.667,5328.886
14070,3.156,300780.816,1999619.991,5395.628
14065,0.925,300944.966,1999623.315,5394.443
14383,0.624,301128.278,1999626.845,5389.015
14073,2.974,300906.598,1999629.964,5393.724
14384,0.842,301098.238,1999638.352,5389.865
14387,2.766,301056.587,1999639.68,5392.624
19173,0.264,305442.812,1999645.768,5363.847
921,4.103,292528.351,1999650,5397.936
19170,0.638,305362.176,1999652.681,5364.778
18912,0.621,305137.479,1999658.134,5365.408
19041,1.65,305320.66,1999658.167,5364.322
14385,5.584,300986.627,1999661.507,5392.5
19042,0.989,305179.019,1999662.37,5363.647
19047,0.242,305216.346,1999665.878,5362.588
19043,0.595,305257.986,1999666.331,5362.68
18918,1.085,305114.564,1999677.648,5363.21
19168,0.41,305537.091,1999677.883,5359.423
13401,3.373,300512.566,1999678.807,5383.038
916,0.452,292361.684,1999679.853,5396.775
13397,0.169,300400.046,1999681.654,5379.009
19286,0.124,305553.71,1999682.73,5358.601
917,1.287,292406.701,1999683.333,5395.704
1169,0.1,292716.667,1999683.333,5383.574
2210,2.909,293516.667,1999683.333,5381.87
2476,2.917,293583.333,1999683.333,5381.5
2481,2.859,293716.667,1999683.333,5380.526
2752,2.842,293783.333,1999683.333,5380.1
2757,2.935,293916.667,1999683.333,5379.794
3027,3.034,293983.333,1999683.333,5379.914
3032,3.264,294116.667,1999683.333,5380.179
3303,3.382,294183.333,1999683.333,5380.234
3308,3.605,294316.667,1999683.333,5380.24
3586,3.694,294383.333,1999683.333,5380.23
3591,3.784,294516.667,1999683.333,5380.17
3871,3.838,294583.333,1999683.333,5379.984
3876,3.861,294716.667,1999683.333,5379.539
4157,3.519,294783.333,1999683.333,5378.172
4162,2.322,294916.667,1999683.333,5371.813
4451,1.785,294983.333,1999683.333,5368.902
4456,1.154,295116.667,1999683.333,5365.943
4750,1.058,295183.333,1999683.333,5365.263
4755,1.091,295316.667,1999683.333,5364.702
5055,1.246,295383.333,1999683.333,5364.916
5060,1.681,295516.667,1999683.333,5365.881
5362,1.848,295583.333,1999683.333,5366.215
5367,1.919,295716.667,1999683.333,5366.042
5674,1.901,295783.333,1999683.333,5365.729
5679,1.949,295916.667,1999683.333,5365.131
5989,2.014,295983.333,1999683.333,5364.871
5994,2.081,296116.667,1999683.333,5364.501
6306,2.094,296183.333,1999683.333,5364.254
6311,2.059,296316.667,1999683.333,5363.53
6623,2.01,296383.333,1999683.333,5363.053
6628,1.859,296516.667,1999683.333,5361.97
6948,1.76,296583.333,1999683.333,5361.408
6953,1.538,296716.667,1999683.333,5360.233
7275,1.417,296783.333,1999683.333,5359.625
7280,1.159,296916.667,1999683.333,5358.327
7605,1.051,296983.333,1999683.333,5357.58
7610,0.393,297116.667,1999683.333,5356.062
11387,1.518,299316.667,1999683.333,5355.861
11725,0.601,299383.333,1999683.333,5354.225
13736,4.268,300583.333,1999683.333,5385.166
13741,5.514,300716.667,1999683.333,5388.427
14683,4.63,301183.333,1999683.333,5388.596
14688,5.02,301316.667,1999683.333,5389.297
14974,5.215,301383.333,1999683.333,5389.541
14979,5.319,301516.667,1999683.333,5389.39
15259,5.342,301583.333,1999683.333,5389.251
15264,5.395,301716.667,1999683.333,5388.629
15539,5.478,301783.333,1999683.333,5388.369
15544,5.627,301916.667,1999683.333,5387.601
15814,5.773,301983.333,1999683.333,5387.369
15819,5.929,302116.667,1999683.333,5386.698
16077,6.012,302183.333,1999683.333,5386.402
16082,6.182,302316.667,1999683.333,5386.115
16336,6.23,302383.333,1999683.333,5385.993
16341,6.345,302516.667,1999683.333,5385.841
16591,6.395,302583.333,1999683.333,5385.768
16596,6.45,302716.667,1999683.333,5385.582
16832,6.545,302783.333,1999683.333,5385.413
16837,6.73,302916.667,1999683.333,5385.053
17068,6.864,302983.333,1999683.333,5384.991
17073,7.399,303116.667,1999683.333,5385.407
17297,7.628,303183.333,1999683.333,5385.729
17302,7.826,303316.667,1999683.333,5385.695
17517,7.961,303383.333,1999683.333,5385.708
17522,7.892,303516.667,1999683.333,5384.967
17731,7.762,303583.333,1999683.333,5384.395
17736,7.596,303716.667,1999683.333,5383.267
17932,7.555,303783.333,1999683.333,5382.8
17937,7.363,303916.667,1999683.333,5381.706
18127,7.209,303983.333,1999683.333,5380.92
18132,7.29,304116.667,1999683.333,5380.352
18312,7.34,304183.333,1999683.333,5380.152
18317,6.99,304316.667,1999683.333,5378.584
18483,6.593,304383.333,1999683.333,5377.298
18488,6.69,304516.667,1999683.333,5376.779
18639,7.439,304583.333,1999683.333,5377.936
18644,4.5,304716.667,1999683.333,5370.607
18781,3.4,304783.333,1999683.333,5367.813
18786,2.096,304916.667,1999683.333,5364.305
19937,0.161,306983.333,1999683.333,5331.302
19942,0.172,307116.667,1999683.333,5329.359
