PID,totalvolume,x,y,z
7944,8.653,297183.333,1999616.667,5354.661
7947,9.172,297316.667,1999616.667,5355.357
8285,9.377,297383.333,1999616.667,5355.423
8288,9.652,297516.667,1999616.667,5354.933
8620,9.86,297583.333,1999616.667,5355.139
8623,10.358,297716.667,1999616.667,5356.082
8957,10.65,297783.333,1999616.667,5356.777
8960,11.063,297916.667,1999616.667,5357.154
9300,11.22,297983.333,1999616.667,5357.026
9303,11.513,298116.667,1999616.667,5356.605
9647,11.65,298183.333,1999616.667,5356.342
9650,11.902,298316.667,1999616.667,5355.689
9996,12.02,298383.333,1999616.667,5355.317
9999,12.244,298516.667,1999616.667,5354.5
10344,12.349,298583.333,1999616.667,5354.063
10347,12.551,298716.667,1999616.667,5353.156
10693,12.654,298783.333,1999616.667,5352.73
10696,12.871,298916.667,1999616.667,5351.995
11041,12.995,298983.333,1999616.667,5351.737
11044,16.266,299116.667,1999616.667,5351.185
11383,22.225,299183.333,1999616.667,5351.405
11729,0.654,299516.667,1999616.667,5353.378
12065,0.74,299583.333,1999616.667,5353.651
12068,0.6,299716.667,1999616.667,5354.219
20059,0.109,307376.531,1999616.667,5329.696
20062,0.875,307489.458,1999616.667,5333.441
19169,0.15,305461.336,1999617.289,5366.779
18919,0.337,305068.732,1999625.992,5367.88
12399,0.322,299785.973,1999627.029,5354.574
18913,0.267,304970.835,1999631.677,5368.403
18915,0.178,305025.004,1999646.688,5365.305
20054,0.284,307543.198,1999669.072,5333.058
1164,1.217,292583.333,1999683.333,5388.484
1421,6.304,292783.333,1999683.333,5380.604
1426,18.573,292916.667,1999683.333,5377.661
1678,18.616,292983.333,1999683.333,5375.195
1683,15.229,293116.667,1999683.333,5370.273
1942,14.091,293183.333,1999683.333,5368.944
1947,12.885,293316.667,1999683.333,5367.64
2205,9.69,293383.333,1999683.333,5367.848
7943,3.284,297183.333,1999683.333,5355.028
7948,0.58,297316.667,1999683.333,5355.849
8284,0.504,297383.333,1999683.333,5356.098
8289,0.409,297516.667,1999683.333,5355.274
8619,0.892,297583.333,1999683.333,5355.515
8624,1.285,297716.667,1999683.333,5356.325
8956,1.566,297783.333,1999683.333,5356.987
